residence_county,Headcount Rate (%),Distribution of the Poor (%),Poverty Gap (%),Severity of Poverty (%),Population (ths),Number of Poor (ths)
National,36.1,100,10.4,4.5,"45,371","16,401"
Rural,40.1,71.3,11.5,5,"29,127","11,687"
Peri-Urban,27.5,5.6,6.9,2.6,"3,340",920
Core-Urban,29.4,23.1,8.9,3.9,"12,905","3,795"
Mombasa,27.1,2,7.5,3.3,"1,185",321
Kwale,47.4,2.4,11.1,3.6,820,389
Kilifi,46.4,4,12.3,4.8,"1,400",650
Tana River,62.2,1.2,20,9.3,304,189
Lamu,28.5,0.2,5.5,1.8,128,36
Taita/Taveta,32.3,0.7,7.7,2.7,358,116
Garissa,65.5,1.7,24.1,11.3,432,283
Wajir,62.6,1.8,16.3,6.7,459,287
Mandera,77.6,3.4,32.8,17,711,552
Marsabit,63.7,1.2,23.4,11,316,201
Isiolo,51.9,0.5,15.5,6.7,156,81
Meru,19.4,1.7,4.9,1.8,"1,471",285
Tharaka-Nithi,23.6,0.6,3.8,1,396,94
Embu,28.2,1,6.4,2.3,560,158
Kitui,47.5,3.2,13.4,5.3,"1,098",522
Machakos,23.3,1.7,5.7,2.2,"1,191",278
Makueni,34.8,2,8.8,3.2,959,334
Nyandarua,34.8,1.5,7.2,2.3,686,239
Nyeri,19.3,0.9,2.4,0.5,798,154
Kirinyaga,20,0.7,3.5,1,608,122
Muranga,25.3,1.7,6,2.1,"1,085",274
Kiambu,23.3,2.7,6.6,2.5,"1,868",435
Turkana,79.4,5.2,46,30.8,"1,084",860
West Pokot,57.4,2.3,20.1,9.5,649,373
Samburu,75.8,1.3,32.1,16.8,284,215
Trans Nzoia,34,2.2,10.4,4.4,"1,038",353
Uasin Gishu,41,2.8,12.9,5.8,"1,133",465
Elgeyo/Marakwet,43.4,1.2,13.4,5.6,469,204
Nandi,36,2.1,9.4,3.4,954,343
Baringo,39.6,1.7,9.7,4.2,704,278
Laikipia,45.9,1.4,14.9,6.8,507,233
Nakuru,29.1,3.6,7.8,2.8,"2,031",592
Narok,22.6,1.5,6,2.4,"1,078",243
Kajiado,40.7,2.2,13.1,5.8,871,355
Kericho,30.3,1.7,8.1,3.2,945,286
Bomet,48.8,2.7,9.3,2.8,916,447
Kakamega,35.8,4.1,9.5,3.8,"1,876",672
Vihiga,43.2,1.7,11.5,4.6,627,271
Bungoma,35.7,3.4,9.5,3.6,"1,553",555
Busia,69.3,3.6,22.3,9.3,840,583
Siaya,33.8,2,8.7,3.5,985,333
Kisumu,33.9,2.3,8.7,3.4,"1,132",384
Homa Bay,33.5,2.2,8.4,3.4,"1,072",360
Migori,41.2,2.8,8,2.5,"1,126",464
Kisii,41.7,3.4,10.8,4,"1,347",562
Nyamira,32.7,1.4,9.1,3.5,699,229
Nairobi City,16.7,4.5,3.4,1.1,"4,463",745